outcome,treatment,cohort,has_cancer,prob_mort_start,prob_mort_end,ATE,i_ci,s_ci,pvalue,n,SL_libraries,Q_weights,g_weights,RR,Database
mortality_in,rrt_elig,cancer_vs_nocancer,1,0.2,1,0.006491779,-0.019083709,0.032067266,0.618834262,2014,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.408251018983461 0 0 0.526855950432537 0.0648930305840023,0.141439466542619 0 0.464662491401134 0.354265855761369 0.0396321862948788,1.014591043,all
mortality_in,rrt_elig,cancer_vs_nocancer,1,0,1,0.052842036,0.038310271,0.0673738,1.02451737181964e-12,6145,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.210782332960145 0 0 0.497035161254064 0.292182505785791,0.729902956739935 0 0 0.20146515682906 0.0686318864310042,1.173177215,all
mortality_in,rrt_elig,cancer_vs_nocancer,0,0,0.1,0.036791152,0.033686029,0.039896274,2.65900552554525e-119,24260,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.192446879788936 0 0 0.703486744047226 0.104066376163837,0.102612348239618 0 0 0.638691597538732 0.258696054221649,1.664446536,all
mortality_in,rrt_elig,cancer_vs_nocancer,0,0.1,0.2,0.038228568,0.032238225,0.044218911,6.73919876280269e-36,13141,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.193033474134595 0 0 0.625558865175153 0.181407660690252,0.167922824074716 0 0 0.588348243262076 0.243728932663208,1.301332487,all
mortality_in,rrt_elig,cancer_vs_nocancer,0,0.2,1,0.032287207,0.02473087,0.039843544,5.5310506247941e-17,15442,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0252015367750902 0 0 0.642735795093845 0.332062668131065,0.277347402487271 0 0 0.453863187865593 0.268789409647135,1.108954289,all
mortality_in,rrt_elig,cancer_vs_nocancer,0,0,1,0.038328257,0.035437659,0.041218856,6.61686960011604e-149,52843,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.00577940450504024 0 0 0.770672978448021 0.223547617046939,0.12046150904653 0 0 0.662943266377127 0.216595224576343,1.267740071,all
mortality_in,vp_elig,cancer_vs_nocancer,1,0,0.1,0.030428625,0.013733262,0.047123988,0.00035392,2572,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.257181132540996 0 0 0.441180222368336 0.301638645090668,0.189962032094331 0 0.00444634713126379 0.568561686980566 0.23702993379384,1.159954084,all
mortality_in,vp_elig,cancer_vs_nocancer,1,0.1,0.2,0.043766909,0.006106804,0.081427015,0.022736985,1559,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.283601771729 0 0 0.430359163464726 0.286039064806275,0 0 0.622767541108981 0.0916795813837666 0.285552877507252,1.155305671,all
mortality_in,vp_elig,cancer_vs_nocancer,1,0.2,1,0.045588494,0.016345718,0.07483127,0.002246306,2014,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.333632794233399 0 0 0.520641421947537 0.145725783819063,0.540080158703287 0 0 0.301559134000798 0.158360707295915,1.111237162,all
mortality_in,vp_elig,cancer_vs_nocancer,1,0,1,0.036194001,0.023062095,0.049325907,6.58547455093606e-08,6145,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.281489376882442 0 0 0.489398650892307 0.229111972225251,0.34996093322591 0 0 0.42415922450515 0.225879842268941,1.125573815,all
mortality_in,vp_elig,cancer_vs_nocancer,0,0,0.1,0.02314236,0.018086744,0.028197976,2.91157240475733e-19,24260,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.208808979513534 0 0 0.725080196807732 0.0661108236787349,0.304128566807356 0 0 0.156828953045521 0.539042480147124,1.443936774,all
mortality_in,vp_elig,cancer_vs_nocancer,0,0.1,0.2,0.039034921,0.030677072,0.04739277,5.48212754318274e-20,13141,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.192631840638039 0 0 0.637840245854888 0.169527913507073,0.140263113961024 0 0 0.30082497072621 0.558911915312766,1.341623957,all
mortality_in,vp_elig,cancer_vs_nocancer,0,0.2,1,0.053383044,0.045780675,0.060985413,4.25990255970104e-43,15442,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0442616947809749 0 0 0.65083926166947 0.304899043549556,0.129816329620265 0 0 0.60457075326589 0.265612917113845,1.20244097,all
mortality_in,vp_elig,cancer_vs_nocancer,0,0,1,0.036265208,0.033316353,0.039214062,2.25823448821104e-128,52843,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0054191161177852 0 0 0.762187176507705 0.23239370737451,0.094851210375082 0 0 0.852512848066917 0.0526359415580005,1.281927016,all
odd_hour,mv_elig,cancer_vs_nocancer,1,0,0.1,-0.018294192,-0.066983021,0.030394638,0.461460293,2572,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.986516428360517 0 0 0.0134835716394833,0 1 0 0 0,0.963587738,all
odd_hour,mv_elig,cancer_vs_nocancer,1,0.1,0.2,0.023862236,-0.029262917,0.076987388,0.378656949,1559,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0213024901897191 0.978697509810281 0 0 0,0.101730680850878 0.0307013172439955 0 0 0.867568001905126,1.050435453,all
odd_hour,mv_elig,cancer_vs_nocancer,1,0.2,1,0.020751629,-0.028551882,0.07005514,0.409396967,2014,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.204448836109995 0.761800588346322 0 0.0337505755436835 0,0 0 0.230720880132835 0.131328041323464 0.637951078543701,1.041598291,all
odd_hour,mv_elig,cancer_vs_nocancer,1,0,1,0.014896263,-0.012180628,0.041973154,0.280905425,6145,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.877502174061452 0 0.111699563596078 0.0107982623424705,0 0 0.15998001798847 0.000722212288899256 0.839297769722631,1.030195338,all
odd_hour,mv_elig,cancer_vs_nocancer,0,0,0.1,0.01474235,0.000913877,0.028570823,0.036660059,24260,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0258611867700999 0.758410622526549 0.215728190703351 0 0,0 0.437096484182826 0 0.562903515817174 0,1.029641912,all
odd_hour,mv_elig,cancer_vs_nocancer,0,0.1,0.2,0.002111856,-0.014949232,0.019172943,0.808305419,13141,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 1 0 0 0,0 0 0 0.729401229899443 0.270598770100557,1.00435443,all
odd_hour,mv_elig,cancer_vs_nocancer,0,0.2,1,0.003083071,-0.014115401,0.020281542,0.725319885,15442,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.235091011022553 0.764908988977447,0.0319551836125962 0 0 0.660302803162694 0.30774201322471,1.00624378,all
odd_hour,mv_elig,cancer_vs_nocancer,0,0,1,0.004139061,-0.004477874,0.012755996,0.346465638,52843,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0745248870179945 0 0.860042933212069 0.0654321797699362 0,0 0 0 0.845454384331322 0.154545615668678,1.008376697,all
odd_hour,rrt_elig,cancer_vs_nocancer,1,0,0.1,-0.113494891,-0.1775533,-0.049436482,0.00051542,2572,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 1 0 0 0,0 1 0 0 0,0.773819849,all
odd_hour,rrt_elig,cancer_vs_nocancer,1,0.1,0.2,-0.011832027,-0.092110268,0.068446214,0.772673256,1559,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.950686848827495 0 0 0.0493131511725051,0 0.870745826916742 0 0.129254173083258 0,0.975733405,all
odd_hour,rrt_elig,cancer_vs_nocancer,1,0.2,1,0.010430789,-0.063283875,0.084145454,0.78151569,2014,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0504286454262525 0.656624915239208 0.292946439334539 0 0,0 0.0514685677143811 0 0 0.948531432285619,1.020492164,all
odd_hour,rrt_elig,cancer_vs_nocancer,1,0,1,-0.016709257,-0.052696209,0.019277695,0.362792938,6145,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.723245971004505 0 0.276754028995495 0,0.649901485558344 0.15365136313184 0 0.196447151309816 0,0.966604714,all
odd_hour,rrt_elig,cancer_vs_nocancer,0,0,0.1,-0.00211657,-0.030943835,0.026710694,0.88557302,24260,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0829291439754352 0.917070856024565 0 0 0,0 0 0 0 1,0.995781307,all
odd_hour,rrt_elig,cancer_vs_nocancer,0,0.1,0.2,-0.009814973,-0.043041564,0.023411619,0.562606426,13141,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.0149910548127128 0.985008945187287,0 0 0 0 1,0.979841274,all
odd_hour,rrt_elig,cancer_vs_nocancer,0,0.2,1,-0.009332444,-0.033097438,0.014432549,0.441485985,15442,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.68851514769385 0.0236551434395187 0.287829708866632 0,0 0 0 0 1,0.981223478,all
odd_hour,rrt_elig,cancer_vs_nocancer,0,0,1,-0.002889895,-0.014651289,0.008871498,0.630095705,52843,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.112643171996604 0 0 0.138204069836115 0.74915275816728,0.0599135786393626 0 0 0.659476014587104 0.280610406773533,0.994180446,all
odd_hour,vp_elig,cancer_vs_nocancer,1,0,0.1,0.01039568,-0.032943128,0.053734488,0.638251272,2572,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.86426147527923 0 0 0.13573852472077,0 0 0 0 1,1.020960216,all
odd_hour,vp_elig,cancer_vs_nocancer,1,0.1,0.2,0.014206357,-0.036971418,0.065384133,0.586391039,1559,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0957249858678106 0.891059100853765 0 0 0.0132159132784247,0 0.141543180999767 0 0 0.858456819000233,1.029486424,all
odd_hour,vp_elig,cancer_vs_nocancer,1,0.2,1,-0.012642294,-0.061892055,0.036607467,0.614874817,2014,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.661259851296895 0.335539819583764 0 0.00320032911934038,0.959185769861283 0 0 0.0408142301387166 0,0.975725786,all
odd_hour,vp_elig,cancer_vs_nocancer,1,0,1,0.008716245,-0.018173956,0.035606446,0.525220765,6145,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.4400739558197 0.5599260441803 0 0,0.235125395894793 0 0 0.025775521425133 0.739099082680074,1.017544865,all
odd_hour,vp_elig,cancer_vs_nocancer,0,0,0.1,0.011859344,-0.001864894,0.025583581,0.090328232,24260,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0685399868156641 0.777821389504451 0.153638623679885 0 0,0 0 0 0.0759924309884266 0.924007569011573,1.023811929,all
odd_hour,vp_elig,cancer_vs_nocancer,0,0.1,0.2,0.006552105,-0.010675891,0.023780101,0.456016697,13141,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0 1,0 0 0 0.834988986270853 0.165011013729146,1.013550645,all
odd_hour,vp_elig,cancer_vs_nocancer,0,0.2,1,-0.011434277,-0.027573153,0.004704599,0.16494046,15442,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.761116802081194 0 0.238883197918806 0,0 0 0 0.843812083192093 0.156187916807907,0.977263441,all
odd_hour,vp_elig,cancer_vs_nocancer,0,0,1,0.004396453,-0.004276927,0.013069833,0.320463838,52843,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.188904208591125 0 0.1082622409171 0.0553155191216604 0.647518031370115,0 0 0 1 0,1.008890361,all
free_days_hosp_28,mv_elig,cancer_vs_nocancer,1,0,0.1,-1.84235193,-2.252463994,-1.432239866,1.30929241516424e-18,2572,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.149442733400197 0 0 0.701953932765404 0.148603333834399,0.0940583376519356 0 0 0.756268333421898 0.149673328926166,0,all
free_days_hosp_28,mv_elig,cancer_vs_nocancer,1,0.1,0.2,-0.522470571,-1.190765657,0.145824515,0.125443343,1559,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.138575822216988 0 0 0.65833808710368 0.203086090679333,0 0 0 0.502778648414724 0.497221351585276,0,all
free_days_hosp_28,mv_elig,cancer_vs_nocancer,1,0.2,1,-2.091376248,-2.67889721,-1.503855287,3.01682295045618e-12,2014,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.347072551992436 0 0 0.560017852721465 0.0929095952860992,0.30480847533864 0 0 0.296861184646196 0.398330340015164,0,all
free_days_hosp_28,mv_elig,cancer_vs_nocancer,1,0,1,-1.647881511,-1.949449151,-1.34631387,9.11711215784785e-27,6145,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0825606235395913 0 0 0.681804687112469 0.23563468934794,0.00181570955424441 0 0 0.48611456291489 0.512069727530866,0,all
free_days_hosp_28,mv_elig,cancer_vs_nocancer,0,0,0.1,-2.147906702,-2.252771042,-2.043042362,0,24260,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.800295110714082 0.199704889285918,0 0 0 0.582685350874364 0.417314649125636,0,all
free_days_hosp_28,mv_elig,cancer_vs_nocancer,0,0.1,0.2,-2.300200686,-2.477030997,-2.123370374,2.20615981854743e-143,13141,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.739090817818169 0.260909182181831,0 0 0 0.569121078247774 0.430878921752226,0,all
free_days_hosp_28,mv_elig,cancer_vs_nocancer,0,0.2,1,-2.508843785,-2.695342203,-2.322345367,3.30932328594845e-153,15442,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.70256444747325 0.29743555252675,0.0865211234879671 0 0 0.363647511751346 0.549831364760687,0,all
free_days_hosp_28,mv_elig,cancer_vs_nocancer,0,0,1,-2.484826347,-2.561535484,-2.408117211,0,52843,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.952242791406951 0.0477572085930488,0 0 0 0.797749933066728 0.202250066933272,0,all
free_days_hosp_28,rrt_elig,cancer_vs_nocancer,1,0,0.1,-3.622390587,-4.40208399,-2.842697183,8.54779405854052e-20,2572,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.175701128652617 0 0 0.745319137398944 0.078979733948439,0.12613982230102 0 0.856479697294615 0 0.0173804804043648,0,all
free_days_hosp_28,rrt_elig,cancer_vs_nocancer,1,0.1,0.2,-0.676394407,-2.268798296,0.916009482,0.405106653,1559,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.108181955578476 0 0 0.620056444820925 0.271761599600599,0.0660463263737812 0.0152571702548748 0.870349174419762 0 0.0483473289515818,0,all
free_days_hosp_28,rrt_elig,cancer_vs_nocancer,1,0.2,1,-1.268351372,-1.802913551,-0.733789193,3.31169471219641e-06,2014,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.394016876160642 0 0 0.605983123839358 0,0.273238379426165 0 0.308889861646749 0.417871758927086 0,0,all
free_days_hosp_28,rrt_elig,cancer_vs_nocancer,1,0,1,-2.271025464,-2.573089916,-1.968961013,3.78771956539429e-49,6145,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.110821942573632 0 0 0.785380757239468 0.103797300186901,0.53199449190967 0 0 0.320241607583578 0.147763900506752,0,all
free_days_hosp_28,rrt_elig,cancer_vs_nocancer,0,0,0.1,-1.825766098,-1.934600986,-1.71693121,4.23224023111773e-237,24260,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.745645845373542 0.254354154626458,0.440799441939539 0 0 0.273357216409544 0.285843341650917,0,all
free_days_hosp_28,rrt_elig,cancer_vs_nocancer,0,0.1,0.2,-1.831521097,-1.990478785,-1.67256341,6.331603246765e-113,13141,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.861291651326909 0.138708348673091,0.198948947877389 0 0 0.52375191013619 0.27729914198642,0,all
free_days_hosp_28,rrt_elig,cancer_vs_nocancer,0,0.2,1,-1.714103721,-1.887704743,-1.540502699,1.93550867643371e-83,15442,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.715535441952056 0.284464558047944,0.295834897412873 0 0 0.396570912638372 0.307594189948754,0,all
free_days_hosp_28,rrt_elig,cancer_vs_nocancer,0,0,1,-1.795767214,-1.868929003,-1.722605424,0,52843,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.925917976431044 0.0740820235689559,0.122849750585901 0 0 0.69102642197802 0.186123827436079,0,all
free_days_hosp_28,vp_elig,cancer_vs_nocancer,1,0,0.1,-0.931138155,-1.397841806,-0.464434503,9.21165742906818e-05,2572,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.190002598868259 0 0 0.653235490626254 0.156761910505487,0.0595554101460104 0 0.180670324434688 0.431678238334361 0.328096027084941,0,all
free_days_hosp_28,vp_elig,cancer_vs_nocancer,1,0.1,0.2,-0.86580201,-1.719915273,-0.011688747,0.046942006,1559,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.153856619819049 0 0 0.640816571098292 0.205326809082659,0.443653102414153 0 0.173306430844026 0.221473455248239 0.161567011493582,0,all
free_days_hosp_28,vp_elig,cancer_vs_nocancer,1,0.2,1,-1.35243676,-1.954979825,-0.749893694,1.08593684038368e-05,2014,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.346080671474617 0 0 0.648535018867352 0.00538430965803145,0.219801861787163 0 0.235115460078761 0.311050048178358 0.234032629955719,0,all
free_days_hosp_28,vp_elig,cancer_vs_nocancer,1,0,1,-1.113988939,-1.529385955,-0.698591922,1.47045963020526e-07,6145,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.127759172316726 0 0 0.743677892202766 0.128562935480508,0.382623684922118 0 0 0.184958430397439 0.432417884680442,0,all
free_days_hosp_28,vp_elig,cancer_vs_nocancer,0,0,0.1,-1.17306677,-1.277208672,-1.068924868,5.18082920691808e-108,24260,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.777014622099931 0.222985377900069,0.115189904908776 0 0 0.61012417421998 0.274685920871244,0,all
free_days_hosp_28,vp_elig,cancer_vs_nocancer,0,0.1,0.2,-1.723854051,-1.898358912,-1.54934919,1.61657179237642e-83,13141,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.809026254507696 0.190973745492304,0.0705819485199402 0 0 0.646932139406651 0.282485912073409,0,all
free_days_hosp_28,vp_elig,cancer_vs_nocancer,0,0.2,1,-1.820410242,-1.992979408,-1.647841077,5.72205398233705e-95,15442,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.763467127266267 0.236532872733733,0.179931599020869 0 0 0.672426762501601 0.14764163847753,0,all
free_days_hosp_28,vp_elig,cancer_vs_nocancer,0,0,1,-1.590338934,-1.666101966,-1.514575902,0,52843,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0 0.912217759235914 0.0877822407640863,0.101055563639404 0 0 0.880704104426192 0.0182403319344044,0,all
mortality_in,mv_elig,group_solid_vs_nocancer,1,0,1,0.032066363,0.01188852,0.052244205,0.001840657,2798,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.241147720954682 0 0 0.555064715412253 0.203787563633065,0.30100549333899 0 0 0.277160377483608 0.421834129177402,1.153953534,all
mortality_in,rrt_elig,group_solid_vs_nocancer,1,0,1,0.046536738,0.029485181,0.063588296,8.83491255973997e-08,2798,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.302426649558952 0 0 0.627025011702489 0.0705483387385592,0.163632151369566 0 0.391533402004852 0.333502140868686 0.111332305756895,1.213413636,all
mortality_in,vp_elig,group_solid_vs_nocancer,1,0,1,0.060310105,0.039556976,0.081063234,1.22720797128389e-08,2798,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.280192445046268 0 0 0.569110273034212 0.15069728191952,0.510117555867733 0 0 0.251269188863316 0.238613255268951,1.317171454,all
odd_hour,mv_elig,group_solid_vs_nocancer,1,0,1,0.001052233,-0.036809692,0.038914158,0.956559926,2798,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.930951390858525 0 0.0690486091414749 0,0 0 0 0.172228020412808 0.827771979587192,1.00209481,all
odd_hour,rrt_elig,group_solid_vs_nocancer,1,0,1,-0.009046069,-0.093515654,0.075423516,0.833744529,2798,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0.958182055814254 0.0418179441857462 0,0 0 0 0 1,0.981924624,all
odd_hour,vp_elig,group_solid_vs_nocancer,1,0,1,-0.004334309,-0.041817105,0.033148487,0.820700681,2798,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.918359439082805 0 0.0816405609171948 0,0 1 0 0 0,0.991363176,all
free_days_hosp_28,mv_elig,group_solid_vs_nocancer,1,0,1,-2.185365179,-2.675794761,-1.694935598,2.46248081129468e-18,2798,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0917875941783218 0 0 0.729782105624308 0.17843030019737,0.223071280024409 0 0 0.306204731007442 0.470723988968149,0,all
free_days_hosp_28,rrt_elig,group_solid_vs_nocancer,1,0,1,-2.960474357,-3.352827611,-2.568121103,1.72383548951889e-49,2798,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0800261698087079 0 0 0.669313347945952 0.250660482245341,0.440295408028004 0 0 0.379183439035296 0.180521152936701,0,all
free_days_hosp_28,vp_elig,group_solid_vs_nocancer,1,0,1,-1.9045047,-2.392316601,-1.4166928,1.97585417625754e-14,2798,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0562263565510986 0 0 0.68552597049178 0.258247672957121,0.436652748095018 0 0 0.316729637100962 0.24661761480402,0,all
mortality_in,mv_elig,group_hematological_vs_nocancer,1,0,1,0.059776272,0.031256608,0.088295936,3.98935780826286e-05,1427,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.342555139326346 0 0 0.485237702307016 0.172207158366638,0.182847139387212 0 0 0.309131749023521 0.508021111589267,1.202890744,all
mortality_in,rrt_elig,group_hematological_vs_nocancer,1,0,1,0.047097145,0.01105348,0.08314081,0.010434986,1427,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.26262194437485 0 0.0238572551193631 0.568730746715187 0.1447900537906,0.107227994138755 0 0.564279996429816 0.184243169339228 0.1442488400922,1.147214059,all
mortality_in,vp_elig,group_hematological_vs_nocancer,1,0,1,0.018486282,-0.017492111,0.054464675,0.313896433,1427,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.33198776139549 0 0 0.630007222004408 0.038005016600102,0.488168683799273 0 0 0.182522238798992 0.329309077401735,1.060458076,all
odd_hour,mv_elig,group_hematological_vs_nocancer,1,0,1,0.029590185,-0.023440543,0.082620912,0.274110934,1427,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 1 0 0 0,0 0 0 1 0,1.062146548,all
odd_hour,rrt_elig,group_hematological_vs_nocancer,1,0,1,-0.013089234,-0.09989039,0.073711922,0.767566576,1427,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.981336804515058 0 0.018663195484942 0,0 0.804744890982766 0 0.195255109017234 0,0.973256926,all
odd_hour,vp_elig,group_hematological_vs_nocancer,1,0,1,0.028536459,-0.024088859,0.081161776,0.287861705,1427,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.967688826208308 0 0 0.0323111737916922,0 0 0 0 1,1.059975973,all
free_days_hosp_28,mv_elig,group_hematological_vs_nocancer,1,0,1,-2.817390315,-3.476424816,-2.158355814,5.33552429054901e-17,1427,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.316773292281381 0 0 0.601679141982837 0.0815475657357814,0.177048040702413 0 0 0.337166520380864 0.485785438916724,0,all
free_days_hosp_28,rrt_elig,group_hematological_vs_nocancer,1,0,1,-0.742361582,-1.429841576,-0.054881588,0.034305111,1427,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.345148197062134 0 0 0.654851802937866 0,0.361132604077387 0 0.28280328801338 0.340241312174647 0.0158227957345864,0,all
free_days_hosp_28,vp_elig,group_hematological_vs_nocancer,1,0,1,0.001494946,-0.818145677,0.82113557,0.997147686,1427,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.273669003195733 0 0 0.716543816817518 0.00978717998674897,0.369616883618674 0 0.220874240796579 0.221060631689103 0.188448243895644,0,all
mortality_in,mv_elig,group_metastasized_vs_nocancer,1,0,1,-0.003467819,-0.027447908,0.02051227,0.77683927,1920,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.419654073135146 0 0 0.475357871409203 0.104988055455651,0.14880160403085 0 0 0.302933345320191 0.548265050648959,0.991634078,all
